name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Moni's Money,2.2,23,5.8+,['TR'],60,1,,,Nevada,03-First Pullou…,1,5,"['5.7+', '5.5', '5.8', '5.7', '5.5', '5.8-', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
Sea of Troubles,2.7,153,5.9,['Sport'],75,1,,,Nevada,03-First Pullou…,3,2,"['5.7+', '5.5', '5.8', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",
Thy Spirit of a Father Lost,2.7,92,5.10a,['Sport'],85,1,,,Nevada,03-First Pullou…,5,3,"['5.7+', '5.5', '5.8', '5.7', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.8', '5.7', '5.6', '5.8']",
Necco Waif,1.8,13,5.7,['Trad'],40,1,,,Nevada,03-First Pullou…,0,1,"['5.8+', '5.8', '5.10d', '5.11-', '5.10d', '5.11b', '5.9', '5.9', '5.10a/b', '5.8', '5.10a']",
Slag Crack,1.0,2,5.8,['Trad'],50,1,,,Nevada,03-First Pullou…,1,0,"['5.8+', '5.10d', '5.11-', '5.10d', '5.7', '5.11b', '5.9', '5.9', '5.10a/b', '5.8', '5.10a']",
Easiest Path,1.8,25,5.8,['Sport'],55,1,,,Nevada,03-First Pullou…,1,1,"['5.8+', '5.10d', '5.11-', '5.10d', '5.7', '5.11b', '5.9', '5.9', '5.10a/b', '5.8', '5.10a']",
Brandi Whine,1.6,27,5.8+,['Sport'],50,1,,,Nevada,03-First Pullou…,0,0,"['5.8', '5.10d', '5.11-', '5.10d', '5.7', '5.11b', '5.9', '5.9', '5.10a/b', '5.8', '5.10a']",
Rust Bucket,1.5,40,5.9,['Sport'],40,1,,,Nevada,03-First Pullou…,2,2,"['5.8+', '5.8', '5.10d', '5.11-', '5.10d', '5.7', '5.11b', '5.9', '5.10a/b', '5.8', '5.10a']",
Particle Man,1.4,23,5.9,['Sport'],30,1,,,Nevada,03-First Pullou…,0,0,"['5.8+', '5.8', '5.10d', '5.11-', '5.10d', '5.7', '5.11b', '5.9', '5.10a/b', '5.8', '5.10a']",
Test of Time,2.6,65,5.10a,['Sport'],55,1,,,Nevada,03-First Pullou…,3,2,"['5.8+', '5.8', '5.10d', '5.11-', '5.10d', '5.7', '5.11b', '5.9', '5.9', '5.10a/b', '5.8']",
Silver Surfer,2.5,45,5.10a/b,['Sport'],55,1,,,Nevada,03-First Pullou…,1,2,"['5.8+', '5.8', '5.10d', '5.11-', '5.10d', '5.7', '5.11b', '5.9', '5.9', '5.8', '5.10a']",
Iron Man,1.0,1,5.10d,['Trad'],90,1,,,Nevada,03-First Pullou…,0,0,"['5.8+', '5.8', '5.11-', '5.10d', '5.7', '5.11b', '5.9', '5.9', '5.10a/b', '5.8', '5.10a']",
Ferrous Wheel,1.8,26,5.10d,['Sport'],45,1,,,Nevada,03-First Pullou…,2,6,"['5.8+', '5.8', '5.11-', '5.10d', '5.7', '5.11b', '5.9', '5.9', '5.10a/b', '5.8', '5.10a']",
Iron Maiden,2.9,38,5.11-,['Sport'],70,1,,,Nevada,03-First Pullou…,5,7,"['5.8+', '5.8', '5.10d', '5.10d', '5.7', '5.11b', '5.9', '5.9', '5.10a/b', '5.8', '5.10a']",
Oxosis,2.5,4,5.11b,['Sport'],45,1,,,Nevada,03-First Pullou…,2,1,"['5.8+', '5.8', '5.10d', '5.11-', '5.10d', '5.7', '5.9', '5.9', '5.10a/b', '5.8', '5.10a']",
