,name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade,popularity,combined_difficulty,difficulty_sport_trad,number_near_grades,diff_nearby_grades,safety_numerical,commitment_numerical,aid_numerical
321,Lichen the Arete,1.8,4,5.8,['Sport'],70.0,1,,,California,Sherwin Plateau,0,2,"['5.9+', '5.8', '5.8+', '5.7', '5.10-', '5.7', '5.10a', '5.10', '5.8', '5.8', '5.9', '5.9+', '5.6', '5.10-', '5.9+', '5.8', '5.9', '5.8', '5.10-', '5.8', '5.9', '5.9', '5.11-', '5.8', '5.9']",,1.8989707289075946,2,5.0,25,0.08000000000000007,,1,
324,Mandarin Orange,1.5,2,5.9+,['Sport'],50.0,1,,,California,Alpers Canyon,1,0,"['5.11a', '5.8']",,1.7649512148459905,2,6.0,2,1.0,,1,
332,Monkey in the Middle,2.6,18,5.7,['Sport'],50.0,1,,,Nevada,03-First Pullou…,1,0,"['5.8-', '5.7', '5.6', '5.7', '5.8', '5.5']",,2.5839396655019984,2,4.0,6,0.33333333333333326,,1,
333,Plata o Plomo,2.0,3,5.11a,['Sport'],70.0,1,,,California,June Lake Area,1,0,"['5.10a', '5.7+', '5.8']",,2.073713411134493,4,11.0,3,2.0,,1,
334,Ming Dynasty,2.4,155,5.9+,['Sport'],40.0,1,,,Nevada,03-First Pullou…,3,2,"['5.8', '5.10b', '5.10d', '5.6', '5.11a', '5.10b', '5.8-', '5.6', '5.7', '5.7', '5.9+', '5.10a', '5.8', '5.7', '5.4', '5.9', '5.7', '5.9+']",,2.3993259849008846,2,6.0,18,0.0,,1,
380,Holly Hipkiss,2.0,11,5.8,['Sport'],50.0,1,,,California,Rattlesnake Was…,3,2,"['5.10-', '5.9', '5.9', '5.8', '5.8', '5.10a/b', '5.10a', '5.8']",,2.024571137044831,2,5.0,8,0.0,,1,
386,Hot Tamale,2.0,2,5.13b,['Sport'],40.0,1,,,California,Rattlesnake Canyon,1,2,"['5.2', '5.8', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.0', '5.13b', '5.9', '5.9-', '5.8', '5.8', '5.9']",,2.0982845481793237,8,19.0,15,4.533333333333333,,1,
387,Excelsior,3.8,26,5.12d,['Sport'],85.0,1,,,California,Inner Gorge,3,11,"['5.11c', '5.11c', '5.13b', '5.12a', '5.12a', '5.13b', '5.13d', '5.13', '5.11c', '5.11b', '5.11a', '5.12', '5.11b/c', '5.12b', '5.11a']",,3.7442538386865913,7,15.0,15,1.4666666666666668,,1,
389,Blitzkrieg,0.5,2,5.12a,['Sport'],50.0,1,,,California,Group Campsites Rd,0,1,"['5.11a', '5.10a', '5.5', '5.10c', '5.9']",,1.0982845481793237,6,15.0,5,3.6,,1,
394,Hawleywood,3.3,18,5.9+,['Sport'],75.0,1,,,California,p. Reed's Pinna…,3,2,"['5.11d', '5.10c', '5.10a', '5.12a', '5.10a', '5.10b', '5.10d', '5.8+', '5.7', '5.8', '5.10c', '5.10b', '5.8', '5.11d', '5.8', '5.12a', '5.10d', '5.11a']",,3.2470975602388403,2,6.0,18,1.1111111111111112,,1,
418,Babylon 5.8,1.9,186,5.8,['Sport'],40.0,1,,,Nevada,03-First Pullou…,4,6,"['5.10b', '5.10d', '5.6', '5.11a', '5.10b', '5.8-', '5.6', '5.9+', '5.7', '5.7', '5.9+', '5.10a', '5.8', '5.7', '5.4', '5.9', '5.7', '5.9+']",,1.902111516815711,2,5.0,18,0.0,,1,
424,Thunder Down Under,2.3,3,5.10a,['Sport'],70.0,1,,,California,Casa Diablo Mou…,1,0,"['5.11a', '5.9', '5.9', '5.10b', '5.10b', '5.9']",,2.298713411134493,2,7.0,6,0.3333333333333335,,1,
426,West of the Witch,2.1,40,5.8,['Sport'],65.0,1,,,California,Daff Dome,1,0,"['5.11a', '5.9', '5.10c', '5.12+', '5.11a', '5.10a', '5.12b', '5.10a', '5.7', '5.9', '5.10a', '5.8+', '5.9', '5.8', '5.9']",,2.10475252791556,2,5.0,15,0.9333333333333331,,1,
428,Red Storm Rising,2.3,26,5.11b,['Sport'],40.0,1,,,Nevada,05-Sandstone Qu…,1,3,"['5.12b/c', '5.11c', '5.11a', '5.12b', '5.11a', '5.12a/b', '5.11a', '5.11d', '5.11b']",,2.2998093942421467,4,12.0,9,0.8888888888888893,,1,
436,The Lighter Side,3.8,5,5.12b,['Sport'],90.0,1,,,California,Medlicott Dome,0,1,"['5.10d', '5.11b', '5.9', '5.11d', '5.9']",,3.549142274089662,6,16.0,5,2.8,,1,
440,Stand Dumb and Speak Not,2.3,8,5.7,['Sport'],80.0,1,,,Nevada,03-First Pullou…,1,1,"['5.7+', '5.5', '5.8', '5.5', '5.8-', '5.8+', '5.5', '5.8', '5.4', '5.8', '5.6', '5.9', '5.6', '5.7', '5.7', '5.10a', '5.8', '5.7', '5.6', '5.8']",,2.299428182726441,2,4.0,20,0.3500000000000001,,1,
450,Apex Predator,2.7,7,5.11b,['Sport'],65.0,1,,,California,Tuolumne Meadows,2,3,"['5.9', '5.7']",,2.649356705567247,4,12.0,2,2.0,,1,
462,Fun Terminal,4.0,7,5.12a,['Sport'],75.0,1,,,California,Elephant Rock f…,2,3,"['5.11d', '5.11b', '5.12c']",,3.7868567055672466,6,15.0,3,0.666666666666667,,1,
464,Silent Shout,3.2,6,5.11+,['Sport'],105.0,1,,,California,Lamb Dome,0,1,"['5.9', '5.10c', '5.11c', '5.9', '5.9+', '5.10a', '5.10a', '5.9', '5.9', '5.9', '5.10b', '5.11b']",,3.0706933777911387,5,11.0,12,2.5,,1,
468,The Last Stand,3.8,6,5.12a,['Sport'],90.0,1,,,California,Valley of Kings,1,4,"['5.10b', '5.10a']",,3.5849790920768525,6,15.0,2,4.0,,1,
473,Pringles,2.5,47,5.11,['Sport'],75.0,1,,,California,h. Cookie Area,0,4,"['5.11b', '5.12b', '5.10b', '5.10a', '5.11c', '5.11a', '5.10d', '5.11a', '5.10d', '5.12b', '5.9', '5.10a', '5.12a', '5.9', '5.9', '5.11c', 'V0+', '5.8', '5.11b', '5.9', '5.11b', '5.11a', '5.10c', '5.10c', '5.11+', '5.13b/c', '5.12b', '5.10+', '5.9', '5.11', '5.10b', '5.10d', '5.11a', '5.10c']",,2.495726117594541,5,11.0,34,1.3823529411764706,,1,
490,Jihad,3.1,18,5.11c,['Sport'],90.0,1,,,California,Main Island,4,6,"['5.12b', '5.10b', '5.10a']",,3.0576238760283143,5,13.0,3,1.6666666666666665,,1,
495,Serpico,2.8,5,5.12a,['Sport'],80.0,1,,,California,Bear Crag,2,1,"['5.11a', '5.12b', '5.11c', '5.12a']",,2.715808940756329,6,15.0,4,0.75,,1,
499,Full Sail,2.2,26,5.10d,['Sport'],45.0,1,,,Nevada,03-First Pullou…,1,3,"['5.10a', '5.8-', '5.11c/d', '5.11a/b', '5.8', '5.9', '5.11b', '5.8']",,2.203513097945851,3,10.0,8,0.125,,1,
508,Up The Junction,2.1,15,5.10a,['Sport'],50.0,1,,,California,Mammoth Lakes Area,3,2,"['5.10b', '5.4', '5.11b', '5.10b/c', '5.8', '5.10c', '5.5', '5.6', '5.10b/c', '5.8', '5.10a']",,2.1121783527836233,2,7.0,11,0.0,,1,
522,Exqueeze Me,1.6,42,5.6,['Sport'],60.0,1,,,California,Area 13,1,2,"['5.9', '5.7', '5.10b', '5.11a', '5.8', '5.9', '5.8', '5.9+', '5.8', '5.7', '5.10a', '5.8', '5.10b', '5.7', '5.7', '5.8']",,1.6161593870822784,1,3.0,16,1.125,,1,
528,Mongol Hoarde,2.8,224,5.10a,['Sport'],40.0,1,,,Nevada,03-First Pullou…,3,2,"['5.8', '5.10b', '5.10d', '5.6', '5.11a', '5.10b', '5.8-', '5.6', '5.9+', '5.7', '5.7', '5.9+', '5.8', '5.7', '5.4', '5.9', '5.7', '5.9+']",,2.797754905086835,2,7.0,18,0.0,,1,
534,Sacred Undergarment Squeeze Job,2.6,446,5.8,['Sport'],70.0,1,,,Nevada,03-First Pullou…,6,4,"['5.8', '5.8', '5.10a', '5.11-', '5.10d', '5.5', '5.10', '5.10-', '5.6', '5.7', '5.10d', '5.10', '5.12a', '5.9', '5.10a', '5.10d', '5.6', '5.10a', '5.8', '5.7', 'V-easy', '5.7+', '5.11a', '5.11d', '5.10c', '5.12a']",,2.5993173459609347,2,5.0,26,0.6538461538461537,,1,
535,Super Meat Boy,2.5,2,5.10d,['Sport'],30.0,1,,,Nevada,05-Sandstone Qu…,3,2,['5.10a'],,2.431617881512657,3,10.0,1,1.0,,1,
540,Warrantless Wiretap,1.3,28,5.8,['Sport'],50.0,1,,,Nevada,03-First Pullou…,6,5,"['5.10a', '5.8-', '5.11c/d', '5.10d', '5.11a/b', '5.9', '5.11b', '5.8']",,1.3343052980875163,2,5.0,8,1.0,,1,
545,Elephant Talk,2.0,1,5.11b,['Sport'],140.0,1,,,California,Elephant Rock f…,0,0,"['5.9', '5.11d', '5.10c', '5.10d', '5.10+', '5.10a', '5.11c', '5.10b']",,2.1474268222689856,4,12.0,8,0.875,,1,
563,Girl Power,0.9,21,5.0,['Sport'],40.0,1,,,California,Rattlesnake Canyon,3,1,"['5.2', '5.8', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.13b', '5.13b', '5.9', '5.9-', '5.8', '5.8', '5.9']",,0.9634024383880897,1,1.0,15,2.933333333333333,,1,
570,EZ Duz It,2.1,7,5.6,['Sport'],50.0,1,,,California,Main Island,1,1,"['5.10a', '5.10a', '5.11d', '5.8', '5.10b', '5.11d']",,2.1243567055672465,1,3.0,6,2.0,,1,
581,Sandman,2.0,2,5.12b/c,['Sport'],45.0,1,,,Nevada,03-First Pullou…,4,0,"['5.3', '5.11c/d', '5.7', '5.11d', '5.12a', '5.10c', '5.11d', '5.8', '5.8', '5.11c/d', '5.10d']",,2.0982845481793237,6,16.0,11,2.4545454545454546,,1,
593,Hang Ten,2.5,4,5.11d,['Sport'],45.0,1,,,Nevada,03-First Pullou…,0,0,"['5.3', '5.11c/d', '5.7', '5.12a', '5.10c', '5.11d', '5.8', '5.12b/c', '5.8', '5.11c/d', '5.10d']",,2.4589707289075946,5,14.0,11,1.3636363636363638,,1,
