,name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade,popularity,combined_difficulty,difficulty_sport_trad,number_near_grades,diff_nearby_grades,safety_numerical,commitment_numerical,aid_numerical
1504,Astroglide,2.0,7,5.11c,['Sport'],65.0,1,,,California,Mammoth Lakes Area,1,0,"['5.10b', '5.11b', '5.10a/b', '5.10c', '5.10b', '5.10b', '5.11d', '5.5', '5.12a', '5.8', '5.9']",,2.0368567055672466,5,13.0,11,2.1818181818181817,,1,
1507,Wedgie,3.0,54,5.12a,['Sport'],65.0,1,,,Nevada,03-First Pullou…,5,6,"['5.8', '5.8', '5.8', '5.10a', '5.11-', '5.10d', '5.5', '5.10', '5.10-', '5.6', '5.7', '5.10d', '5.10', '5.9', '5.10a', '5.10d', '5.6', '5.10a', '5.8', '5.7', 'V-easy', '5.7+', '5.11a', '5.11d', '5.10c', '5.12a']",,2.9871791571734176,6,15.0,26,3.5,,1,
1516,The Cupcake,4.0,1,5.12d,['Sport'],40.0,1,,,Nevada,05-Sandstone Qu…,0,0,"['5.12a', '5.11b', '5.11c', '5.11a', '5.11d', '5.12b', '5.11c/d']",,3.1474268222689856,7,15.0,7,2.0,,1,
1518,Hey!,2.0,11,5.11a,['Sport'],70.0,1,PG13,,California,Rock Creek,0,2,"['5.11b', '5.9', '5.12a', '5.10d', '5.9', '5.12a', '5.10a', '5.10+', '5.10b', '5.11d', '5.9', '5.11b', '5.10b', '5.12c', '5.11a', '5.8', '5.12b', '5.10c', '5.12b', '5.9', '5.11d', '5.8', '5.10b', '5.11a', '5.10a', '5.10d', '5.10d', '5.10c', '5.10b', '5.10+']",,2.024571137044831,4,11.0,30,0.6000000000000001,1.0,1,
1522,Step Up or Ketchup,2.0,8,5.10a,['Sport'],100.0,1,,,California,Casa Diablo Mou…,3,1,"['5.10c', '5.11a', '5.9+', '5.8', '5.4', '5.4', '5.10b', '5.6', '5.12-', '5.8', '5.7', '5.8+', '5.9', '5.9', '5.7', '5.8+', '5.11b', '5.9']",,2.0327615160597743,2,7.0,18,0.3333333333333335,,1,
1537,Point of Entry (aka Not for Brucy!),2.5,2,5.11-,['Sport'],95.0,1,,,California,Inner Gorge,1,0,"['5.11c', '5.11c', '5.10c', '5.12a', '5.10b', '5.10d']",,2.431617881512657,4,11.0,6,0.0,,1,
1539,Brief Encounter,2.6,496,5.8,['Sport'],60.0,1,,,Nevada,03-First Pullou…,11,8,"['5.8', '5.8', '5.10a', '5.11-', '5.10d', '5.5', '5.10', '5.10-', '5.6', '5.7', '5.10d', '5.10', '5.12a', '5.9', '5.10a', '5.10d', '5.6', '5.10a', '5.8', '5.7', 'V-easy', '5.7+', '5.11a', '5.11d', '5.10c', '5.12a']",,2.5993860234296537,2,5.0,26,0.6538461538461537,,1,
1543,No Left Turn,1.8,20,5.10a,['Sport'],40.0,1,,,California,Area 13,0,2,"['5.9', '5.8', '5.8', '5.11c', '5.10a', '5.8', '5.7', '5.8']",,1.8235644592637128,2,7.0,8,0.375,,1,
1545,Megatonic,2.6,22,5.12c,['Sport'],50.0,1,,,Nevada,Parking Lot Area,1,6,"['5.11a', '5.10a', '5.12b', '5.7', '5.11', '5.11b', '5.11a', '5.11+', '5.11a', '5.7', '5.13b', '5.11b', '5.8', '5.10', '5.9', '5.12c', '5.13b', '5.10c']",,2.586732767153825,7,17.0,18,2.833333333333333,,1,
1547,The Neenee,2.2,5,5.10a,['Sport'],50.0,1,,,California,Rattlesnake Was…,3,2,"['5.10-', '5.9', '5.9', '5.8', '5.8', '5.8', '5.10a/b', '5.8']",,2.215808940756329,2,7.0,8,0.0,,1,
1553,Panty Prow,2.3,201,5.6,['Sport'],80.0,1,,,Nevada,03-First Pullou…,8,13,"['5.8', '5.8', '5.8', '5.10a', '5.11-', '5.10d', '5.5', '5.10', '5.10-', '5.7', '5.10d', '5.10', '5.12a', '5.9', '5.10a', '5.10d', '5.6', '5.10a', '5.8', '5.7', 'V-easy', '5.7+', '5.11a', '5.11d', '5.10c', '5.12a']",,2.299974522992762,1,3.0,26,1.6923076923076925,,1,
1584,Never Say Never,3.2,5,5.12b,['Sport'],140.0,2,,,California,Rock Creek,0,1,"['5.11b', '5.9', '5.12a', '5.10d', '5.9', '5.12a', '5.10a', '5.10+', '5.10b', '5.11d', '5.9', '5.11b', '5.10b', '5.11a', '5.12c', '5.11a', '5.8', '5.10c', '5.12b', '5.9', '5.11d', '5.8', '5.10b', '5.11a', '5.10a', '5.10d', '5.10d', '5.10c', '5.10b', '5.10+']",,3.0491422740896623,6,16.0,30,2.6666666666666665,,1,
1589,Split Ends,1.9,27,5.10-,['Sport'],100.0,1,,,Nevada,05-Sandstone Qu…,1,1,"['5.11a', '5.7+', '5.9-', '5.11a', '5.11d', '5.8', '5.10b/c', '5.10d', '5.11c', '5.9', '5.9', '5.10b', '5.11a', '5.10b/c', '5.11c']",,1.9141019158763561,2,7.0,15,1.0666666666666669,,1,
1599,Big Head,2.5,39,5.10a,['Sport'],30.0,1,,,Nevada,03-First Pullou…,1,3,"['5.10c', '5.10-', '5.10a', '5.9', '5.8', '5.8']",,2.4948713411134493,2,7.0,6,0.16666666666666652,,1,
1600,Freakshow,2.8,12,5.10b,['Sport'],70.0,1,,,California,Rock Creek,0,1,"['5.11b', '5.9', '5.12a', '5.10d', '5.9', '5.12a', '5.10a', '5.10+', '5.11d', '5.9', '5.11b', '5.10b', '5.11a', '5.12c', '5.11a', '5.8', '5.12b', '5.10c', '5.12b', '5.9', '5.11d', '5.8', '5.10b', '5.11a', '5.10a', '5.10d', '5.10d', '5.10c', '5.10b', '5.10+']",,2.7611425880413827,2,8.0,30,1.4666666666666668,,1,
1601,Inferno,2.9,20,5.12a,['Sport'],25.0,1,,,Nevada,03-First Pullou…,4,1,"['5.6', '5.10b', '5.10', '5.10a', '5.10b', '5.10a', '5.10a', '5.9', '5.10c']",,2.8711835068827605,6,15.0,9,3.888888888888889,,1,
1622,Easiest Path,1.8,25,5.8,['Sport'],55.0,1,,,Nevada,03-First Pullou…,1,1,"['5.8+', '5.10d', '5.11-', '5.10d', '5.7', '5.11b', '5.9', '5.9', '5.10a/b', '5.8', '5.10a']",,1.8190328324822298,2,5.0,11,0.5454545454545454,,1,
1626,Pornographic Priestess,2.4,9,5.12a,['Sport'],30.0,1,,,Nevada,05-Sandstone Qu…,2,1,"['5.9', '5.11c', '5.7', '5.12b', '5.10d']",,2.3894853644537974,6,15.0,5,2.4,,1,
1636,Flake eyes,2.5,2,5.11b,['Sport'],40.0,1,,,Nevada,05-Sandstone Qu…,0,0,"['5.12a', '5.12d', '5.11c', '5.11a', '5.11d', '5.12b', '5.11c/d']",,2.431617881512657,4,12.0,7,1.4285714285714288,,1,
1641,Meatlocker,0.0,1,5.12+,['Sport'],25.0,1,,,Nevada,05-Sandstone Qu…,0,1,"['5.12d', '5.12a/b', '5.12a', '5.12b', '5.13a', '5.12b/c', '5.12d', '5.13a', '5.12b', '5.13a']",,1.1474268222689858,7,15.0,10,0.20000000000000018,,1,
1645,Expert Textpert,2.4,8,5.11c,['Sport'],30.0,1,,,Nevada,05-Sandstone Qu…,1,0,"['5.9', '5.7', '5.12b', '5.12a', '5.10d']",,2.3883170716153304,5,13.0,5,1.2000000000000002,,1,
1658,Fresh Air,3.8,9,5.12b,['Sport'],80.0,1,,,Nevada,Parking Lot Area,3,6,"['5.9+', '5.9', '5.9', '5.10c', '5.9', '5.10a', '5.7', '5.10c']",,3.6494853644537972,6,16.0,8,3.75,,1,
1663,Bear Backin It,3.8,8,5.12b,['Sport'],100.0,1,,,California,Bear Crag,0,1,"['5.11b', '5.11d', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c', '5.12a']",,3.632761516059774,6,16.0,11,0.9090909090909092,,1,
1670,Anything Goes,4.0,24,5.12a,['Sport'],120.0,1,,,California,Rock Creek,0,2,"['5.11b', '5.9', '5.10d', '5.9', '5.12a', '5.10a', '5.10+', '5.10b', '5.11d', '5.9', '5.11b', '5.10b', '5.11a', '5.12c', '5.11a', '5.8', '5.12b', '5.10c', '5.12b', '5.9', '5.11d', '5.8', '5.10b', '5.11a', '5.10a', '5.10d', '5.10d', '5.10c', '5.10b', '5.10+']",,3.931794145781519,6,15.0,30,2.6666666666666665,,1,
1675,Scent of the Ultraman,2.3,57,5.7,['Sport'],110.0,1,,,Nevada,03-First Pullou…,3,4,"['5.9', '5.10-', '5.8+', '5.6', '5.9', '5.7+', '5.7+', '5.7', '5.8', '5.8+', '5.6', '5.8', '5.8+']",,2.299911269733413,2,4.0,13,0.15384615384615374,,1,
1683,Wall Of Separation,1.3,3,5.9,['Sport'],250.0,2,,,California,Little Egypt,0,2,"['5.10b', '5.10c', '5.11b', '5.11d', '5.10', '5.10c', '5.8']",,1.548713411134493,2,6.0,7,1.1428571428571428,,1,
1684,More Hypocrisy,3.0,4,5.11b,['Sport'],115.0,1,,,California,Inner Gorge,1,1,"['5.11c', '5.11c', '5.13b', '5.12a', '5.12a', '5.12d', '5.13b', '5.13d', '5.13', '5.11c', '5.11a', '5.12', '5.11b/c', '5.12b', '5.11a']",,2.858970728907595,4,12.0,15,1.7333333333333334,,1,
1685,On to the Next One,2.4,56,5.11a,['Sport'],50.0,1,,,Nevada,05-Sandstone Qu…,0,4,"['5.9-', '5.11d', '5.9', '5.8', '5.10a', '5.10b', '5.11b', '5.11d', '5.10a', '5.10b', '5.10b', '5.10', '5.10b', '5.10-', '5.11c', '5.12b', '5.12a', '5.8', '5.12a', '5.11a', '5.11b', '5.9+', '5.10', '5.12c', '5.11a', '5.12a', '5.8']",,2.3981553270971574,4,11.0,27,0.5185185185185186,,1,
1692,Pull My Finger,3.3,75,5.10a,['Sport'],190.0,3,,,California,Main Island,6,12,"['5.10b', '5.10d', '5.12a', '5.10b/c', '5.10b', '5.10a', '5.10c', '5.10d', '5.11a']",,3.2867743900597097,2,7.0,9,1.0,,1,
1700,Friendly Fire,3.6,22,5.11b,['Sport'],90.0,1,,,California,Bear Crag,1,1,"['5.11d', '5.12b', '5.11a', '5.11d', '5.11b', '5.12b', '5.12c', '5.11b', '5.12b', '5.11c', '5.12a']",,3.5432545062842595,4,12.0,11,1.2727272727272725,,1,
1705,Rat in the Kitchen,3.0,1,5.8,['Sport'],170.0,1,,,California,Mammoth Lakes Area,0,0,"['5.12', '5.10a', '5.10c']",,2.6474268222689856,2,5.0,3,2.0,,1,
1706,Cujo,3.1,86,5.11d,['Sport'],30.0,1,,,Nevada,03-First Pullou…,3,2,"['5.10a/b', '5.11b', '5.8', '5.10c', '5.12b', '5.10b', '5.11c', '5.5', '5.7']",,3.090745444190092,5,14.0,9,2.0,,1,
1734,Fun-gi,1.4,11,5.4,['Sport'],50.0,1,,,California,Mammoth Lakes Area,5,0,"['5.10b', '5.11b', '5.10b/c', '5.8', '5.10c', '5.5', '5.6', '5.10b/c', '5.10a', '5.8', '5.10a']",,1.474571137044831,1,1.0,11,1.0909090909090908,,1,
1737,Office Party,2.2,6,5.9,['Sport'],35.0,1,,,Nevada,03-First Pullou…,1,0,"['5.8', '5.8', '5.8', '5.10a', '5.11-', '5.10d', '5.5', '5.10', '5.10-', '5.6', '5.7', '5.10d', '5.10', '5.12a', '5.10a', '5.10d', '5.6', '5.10a', '5.8', '5.7', 'V-easy', '5.7+', '5.11a', '5.11d', '5.10c', '5.12a']",,2.2135505206482815,2,6.0,26,0.6538461538461537,,1,
1757,Wild Wild West,1.7,12,5.10d,['Sport'],60.0,1,,,California,Corral Wall,2,3,"['5.8', '5.8+', '5.10c', '5.7', '5.8', '5.9', '5.12a/b', '5.9+', '5.10b', '5.8', '5.10b', '5.7', '5.10a', '5.10a', '5.9', '5.8']",,1.7457579726567671,3,10.0,16,0.6875,,1,
1758,Markery,3.0,34,5.10b,['Sport'],75.0,1,,,California,p. Reed's Pinna…,6,2,"['5.11d', '5.10c', '5.10a', '5.12a', '5.10a', '5.10d', '5.9+', '5.8+', '5.7', '5.8', '5.10c', '5.10b', '5.8', '5.11d', '5.8', '5.12a', '5.10d', '5.11a']",,2.9798529612725133,2,8.0,18,1.1111111111111112,,1,
1763,Papa Cool Ski,1.0,1,5.7,['Sport'],90.0,1,,,California,Crestview Rock,0,0,"['5.11c', '5.8+', '5.10c', '5.11b/c', '5.10c', '5.10a', '5.11']",,1.6474268222689858,2,4.0,7,1.4285714285714284,,1,
1766,Amnesiacs Arete,3.0,1,5.12a,['Sport'],100.0,1,,,California,Patricia Bowl,0,0,"['5.10a', '5.10c', '5.10b', '5.10d', '5.11a', '5.10b', '5.12b', '5.12c', '5.8', '5.10a', '5.9', '5.11b', '5.11a', '5.11b', '5.10d', '5.11a']",,2.6474268222689856,6,15.0,16,2.625,,1,
1767,Magic Eight Ball,1.8,6,5.10b,['Sport'],100.0,1,,,California,Rock Creek,1,0,"['5.9+', '5.9', '5.10c', '5.10c', '5.10b', '5.10', '5.4', '5.10b', '5.11d', '5.9', '5.10b', '5.9', '5.11a/b', '5.10b', '5.10a', '5.10-']",,1.8706933777911385,2,8.0,16,0.4375,,1,
1769,Slabba Dabba Doo,2.0,2,5.11b,['Sport'],60.0,1,R,,Nevada,10-Pine Creek C…,2,2,"['5.7', '5.10d', '5.7', '5.7', '5.11', '5.11a', '5.11a', '5.11', '5.9+']",,2.0982845481793237,4,12.0,9,0.7777777777777777,2.0,1,
1771,Spud Launcher,2.2,35,5.9,['Sport'],40.0,1,,,California,Potato Patch,0,2,"['5.9+', '5.11b', '5.11c']",,2.202634823459388,2,6.0,3,1.6666666666666665,,1,
1774,Skid Mark,2.5,205,5.9+,['Sport'],55.0,1,,,Nevada,05-Sandstone Qu…,2,8,"['5.9-', '5.11d', '5.9', '5.8', '5.10a', '5.10b', '5.11b', '5.11d', '5.10a', '5.10b', '5.10b', '5.10', '5.10b', '5.10-', '5.11c', '5.11a', '5.12b', '5.12a', '5.8', '5.12a', '5.11a', '5.11b', '5.10', '5.12c', '5.11a', '5.12a', '5.8']",,2.499004143905524,2,6.0,27,1.5555555555555554,,1,
1802,Eureka!,3.7,7,5.12a/b,['Sport'],95.0,1,,,California,Rattlesnake Canyon,4,4,"['5.8', '5.8+', '5.8', '5.10b', '5.10a', '5.7', '5.11a', '5.11b', '5.8-', '5.10b']",,3.524356705567247,6,15.0,10,3.6,,1,
1805,Serious Leisure,2.2,5,5.12a,['Sport'],40.0,1,,,Nevada,Parking Lot Area,1,1,"['5.10c', '5.10b', '5.10-', '5.11', '5.10d', '5.11b', '5.11d']",,2.215808940756329,6,15.0,7,2.5714285714285716,,1,
1809,Dodge Ball,2.6,36,5.10b,['Sport'],50.0,1,,,California,Mammoth Lakes Area,2,4,"['5.10a', '5.11b/c', '5.7', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",,2.591752801203729,2,8.0,23,1.0434782608695654,,1,
1810,Optimizer,3.5,14,5.11a,['Sport'],115.0,1,,,California,Bear Crag,0,3,"['5.11d', '5.12a', '5.11c', '5.11c', '5.11b', '5.12b', '5.10d', '5.12b', '5.12a']",,3.4196569096358647,4,11.0,9,1.1111111111111107,,1,
1816,Hash Brownies,2.1,35,5.8,['Sport'],30.0,1,,,California,Potato Patch,4,7,['5.10c'],,2.1054126012371657,2,5.0,1,1.0,,1,
1822,Unknown H,2.8,5,5.11b,['Sport'],70.0,1,,,California,Casa Diablo Mou…,2,2,"['5.10c', '5.11a', '5.9+', '5.8', '5.4', '5.4', '5.10b', '5.10a', '5.6', '5.12-', '5.8', '5.7', '5.8+', '5.9', '5.9', '5.7', '5.8+', '5.9']",,2.715808940756329,4,12.0,18,1.7777777777777777,,1,
1824,Unknown 5.8,1.8,23,5.8,['Sport'],45.0,1,,,California,Mammoth Lakes Area,0,2,"['5.11c', '5.10b', '5.11b', '5.10a/b', '5.10c', '5.10b', '5.10b', '5.11d', '5.5', '5.12a', '5.9']",,1.8206189018557488,2,5.0,11,1.0909090909090908,,1,
1828,Dirty Secret,1.5,2,5.10d,['Sport'],45.0,1,,,Nevada,Parking Lot Area,0,0,"['5.11a', '5.11+', '5.10b', '5.10c', '5.11']",,1.7649512148459905,3,10.0,5,0.7999999999999998,,1,
1830,Unknown Name,2.0,3,5.11,['Sport'],60.0,1,,,Nevada,03-First Pullou…,0,0,"['5.9', '5.10c/d', '5.11a', '5.11c', '5.10a', '5.11d', '5.5', '5.12a', '5.8', '5.10b', '5.10d', '5.10c/d']",,2.073713411134493,5,11.0,12,1.8333333333333335,,1,
1834,Strangers to Ourselves,3.0,4,5.10b,['Sport'],60.0,1,,,Nevada,03-First Pullou…,1,0,"['5.10', '5.10-', '5.10b/c', '5.8', '5.9-', '5.10', '5.10a']",,2.858970728907595,2,8.0,7,0.2857142857142856,,1,
1844,I Fly,3.5,2,5.13c,['Sport'],65.0,1,,,California,Bear Crag,1,0,"['5.12c', '5.12a', '5.13a']",,3.0982845481793237,9,20.0,3,2.0,,1,
1850,Greg's Arete,3.5,4,5.12a,['Sport'],45.0,1,,,Nevada,05-Sandstone Qu…,1,2,"['5.10d', '5.11b', '5.10+', '5.10a', '5.7', '5.11a', '5.11b', '5.11a']",,3.2589707289075944,6,15.0,8,2.75,,1,
1863,Sunshine Surprise,2.0,28,5.9,['Sport'],70.0,1,,,California,Horseshoe Lake…,2,5,"['5.10a', '5.10b', '5.7', '5.8', '5.7', '5.9']",,2.010167367053034,2,6.0,6,0.0,,1,
1864,The Chick Magnet,2.3,12,5.9,['Sport'],50.0,1,,,California,Rattlesnake Was…,2,2,"['5.10-', '5.9', '5.8', '5.8', '5.8', '5.10a/b', '5.10a', '5.8']",,2.299604126502921,2,6.0,8,0.0,,1,
1880,Poco Owes Me a Concert,2.9,9,5.12b,['Sport'],65.0,1,,,Nevada,Parking Lot Area,0,1,"['5.11a', '5.12c', '5.11c', '5.12a/b', '5.12c', '5.12d', '5.12c', '5.12', '5.13b', '5.9-', '5.12b', '5.11a', '5.12b', '5.12a', '5.11a']",,2.839485364453797,6,16.0,15,0.2666666666666666,,1,
1882,Baby Mace Face,1.0,1,5.8+,['Sport'],80.0,1,,,California,Crestview Rock,0,0,"['5.11c', '5.10c', '5.11b/c', '5.10c', '5.7', '5.10a', '5.11']",,1.6474268222689858,2,5.0,7,1.4285714285714284,,1,
1891,Penetrator,3.8,13,5.12b,['Sport'],90.0,1,,,California,Bear Crag,0,4,"['5.11c', '5.12c']",,3.6924895460384266,6,16.0,2,0.0,,1,
1892,Like a Virgin,1.5,2,5.10+,['Sport'],80.0,1,R,,California,Medlicott Dome,0,0,"['5.9+', '5.8', '5.7', '5.10a', '5.10a', '5.10d', '5.9', '5.8', '5.11d', '5.6', '5.8', '5.8']",,1.7649512148459905,3,7.0,12,0.75,2.0,1,
1908,Twilight of a Champion,3.6,15,5.13a,['Sport'],90.0,1,,,Nevada,05-Sandstone Qu…,0,4,"['5.12d', '5.12a/b', '5.12a', '5.12b', '5.12+', '5.12b/c', '5.12d', '5.13a', '5.12b', '5.13a']",,3.5184283527836233,8,18.0,10,1.2999999999999998,,1,
1927,Cool For Cats,2.4,17,5.10b,['Sport'],50.0,1,,,California,Mammoth Lakes Area,4,3,"['5.4', '5.11b', '5.10b/c', '5.8', '5.10c', '5.5', '5.6', '5.10b/c', '5.10a', '5.8', '5.10a']",,2.394158535807665,2,8.0,11,0.0,,1,
1933,Pussy Paws,3.0,2,5.12,['Sport'],70.0,1,,,California,k. Cascade Area,1,0,"['5.10b', '5.10a', '5.11', '5.10b', '5.10d', '5.12a', '5.10b', '5.12c', '5.11d', '5.10b', '5.11b', '5.10d', '5.11a', '5.7', '5.10a', '5.11b', '5.9', '5.10a', '5.10b', '5.10', '5.8+', '5.8+', '5.10-', '5.11b', '5.8', '5.7', '5.10d', '5.10c', '5.12a', '5.10c', '5.10d', '5.9', '5.10b', '5.10b', '5.11a', '5.12a', '5.8']",,2.7649512148459907,7,15.0,37,3.918918918918919,,1,
1949,Warming Trend,2.3,48,5.10a,['Sport'],50.0,1,,,California,Mammoth Lakes Area,3,3,"['5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",,2.2998949723375097,2,7.0,23,1.0434782608695654,,1,
1951,Iron Maiden,2.9,38,5.11-,['Sport'],70.0,1,,,Nevada,03-First Pullou…,5,7,"['5.8+', '5.8', '5.10d', '5.10d', '5.7', '5.11b', '5.9', '5.9', '5.10a/b', '5.8', '5.10a']",,2.884483426783025,4,11.0,11,1.6363636363636362,,1,
1961,Land 'o Lakes,2.8,8,5.10d,['Sport'],100.0,1,,,California,Rock Creek,1,1,"['5.10', '5.10c', '5.10b/c', '5.11', '5.10b', '5.11a', '5.11a', '5.10d', '5.11a', '5.9', '5.10c', '5.11', '5.11b', '5.10a/b', '5.10-', '5.10d']",,2.7438726271708855,3,10.0,16,0.1875,,1,
1964,Blood Sport,3.0,2,5.13b,['Sport'],40.0,1,,,California,Inner Gorge,1,0,"['5.11c', '5.11c', '5.12a', '5.12a', '5.12d', '5.13b', '5.13d', '5.13', '5.11c', '5.11b', '5.11a', '5.12', '5.11b/c', '5.12b', '5.11a']",,2.7649512148459907,8,19.0,15,2.533333333333333,,1,
1967,Impatient Ladies,1.8,4,5.8,['Sport'],85.0,1,,,California,Area 13,1,0,['5.8'],,1.8989707289075946,2,5.0,1,0.0,,1,
1974,Hodad,3.4,5,5.12a,['Sport'],40.0,1,,,Nevada,03-First Pullou…,0,0,"['5.12d', '5.11c', '5.11d', '5.12a', '5.11c', '5.10+', '5.10', '5.11a']",,3.215808940756329,6,15.0,8,1.25,,1,
1978,"Dad Bod (aka ""Riv's Route"")",3.0,1,5.11b,['Sport'],60.0,1,,,California,Rock Creek,4,0,"['5.10-', '5.8', '5.10', '5.10c', '5.12+', '5.11a', '5.10+', '5.9+', '5.13a', '5.9']",,2.6474268222689856,4,12.0,10,0.3999999999999999,,1,
1982,Hell Up In Harlem,2.0,2,5.11-,['Sport'],60.0,1,,,Nevada,05-Sandstone Qu…,0,0,"['5.11b', '5.10+', '5.11-', '5.10a', '5.10+']",,2.0982845481793237,4,11.0,5,0.7999999999999998,,1,
1988,Woodywhacker,2.1,15,5.11a,['Sport'],70.0,1,,,California,Main Island,0,2,"['5.10b', '5.10d', '5.12a', '5.10b/c', '5.10b', '5.10a', '5.10a', '5.10c', '5.10d']",,2.1121783527836233,4,11.0,9,1.2222222222222223,,1,
1989,Louie The Lumberjack,1.3,4,5.8,['Sport'],85.0,1,,,California,Area 13,2,1,['5.8'],,1.4989707289075944,2,5.0,1,0.0,,1,
2000,Icebreaker,2.0,2,5.13b,['Sport'],40.0,1,,,California,Rattlesnake Canyon,1,1,"['5.2', '5.8', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.0', '5.13b', '5.9', '5.9-', '5.8', '5.8', '5.9']",,2.0982845481793237,8,19.0,15,4.533333333333333,,1,
2013,Drug Sniffing Pot-Bellied Pig,1.0,1,5.12d,['Sport'],45.0,1,,,Nevada,Parking Lot Area,0,0,"['5.11a', '5.12c', '5.11c', '5.12a/b', '5.12c', '5.12c', '5.12', '5.13b', '5.9-', '5.12b', '5.12b', '5.11a', '5.12b', '5.12a', '5.11a']",,1.6474268222689858,7,15.0,15,1.333333333333333,,1,
2031,Spaced Out,2.3,3,5.9,['Sport'],100.0,1,,,California,Rock Creek,1,0,"['5.11b', '5.10-', '5.8', '5.10', '5.10c', '5.12+', '5.11a', '5.10+', '5.9+', '5.13a']",,2.298713411134493,2,6.0,10,1.7999999999999998,,1,
2037,Big Boy Bite,2.0,3,5.9+,['Sport'],60.0,1,,,California,Sherwin Plateau,1,1,"['5.8', '5.8', '5.8+', '5.7', '5.10-', '5.7', '5.10a', '5.10', '5.8', '5.8', '5.9', '5.9+', '5.6', '5.10-', '5.9+', '5.8', '5.9', '5.8', '5.10-', '5.8', '5.9', '5.9', '5.11-', '5.8', '5.9']",,2.073713411134493,2,6.0,25,0.08000000000000007,,1,
2049,Not To Code,3.0,3,5.12a,['Sport'],115.0,1,,,California,Inner Gorge,0,0,"['5.11c', '5.11c', '5.10c', '5.11-', '5.10b', '5.10d']",,2.823713411134493,6,15.0,6,2.3333333333333335,,1,
2058,All I need is a hula hoop so people don't wonder,2.0,2,5.9,['Sport'],35.0,1,,,California,T J Lake,1,0,"['5.8', '5.7', '5.6', '5.10b', '5.10a', '5.8', '5.7', '5.7']",,2.0982845481793237,2,6.0,8,0.125,,1,
2061,Pretty Woman,2.5,24,5.9-,['Sport'],40.0,1,,,California,Rattlesnake Canyon,1,2,"['5.2', '5.8', '5.10+', '5.10d', '5.13a', '5.11c', '5.12c', '5.11a', '5.0', '5.13b', '5.13b', '5.9', '5.8', '5.8', '5.9']",,2.491794145781519,2,6.0,15,1.8666666666666667,,1,
2063,Little Gem,3.1,66,5.8,['Sport'],100.0,1,,,California,Horseshoe Lake…,7,8,"['5.10a', '5.10b', '5.7', '5.9', '5.7', '5.9']",,3.0879828902169844,2,5.0,6,0.0,,1,
2085,Corner Office,2.9,11,5.10d,['Sport'],40.0,1,,,Nevada,03-First Pullou…,2,0,"['5.8', '5.8', '5.8', '5.10a', '5.11-', '5.5', '5.10', '5.10-', '5.6', '5.7', '5.10d', '5.10', '5.12a', '5.9', '5.10a', '5.10d', '5.6', '5.10a', '5.8', '5.7', 'V-easy', '5.7+', '5.11a', '5.11d', '5.10c', '5.12a']",,2.8495711370448307,3,10.0,26,0.3846153846153846,,1,
2086,Shut Up and Climb,3.0,218,5.11b,['Sport'],60.0,1,,,Nevada,05-Sandstone Qu…,6,5,"['5.9-', '5.11d', '5.9', '5.8', '5.10a', '5.10b', '5.11d', '5.10a', '5.10b', '5.10b', '5.10', '5.10b', '5.10-', '5.11c', '5.11a', '5.12b', '5.12a', '5.8', '5.12a', '5.11a', '5.11b', '5.9+', '5.10', '5.12c', '5.11a', '5.12a', '5.8']",,2.9967801536280274,4,12.0,27,0.5185185185185186,,1,
2087,Four of the Apocolypse,2.0,1,5.10+,['Sport'],35.0,1,,,Nevada,05-Sandstone Qu…,0,0,"['5.11b', '5.11-', '5.11-', '5.10a', '5.10+']",,2.1474268222689856,3,7.0,5,0.3999999999999999,,1,
2091,Destroy All Monsters,2.1,11,5.10-,['Sport'],130.0,1,,,Nevada,03-First Pullou…,0,4,"['5.9', '5.8+', '5.7', '5.6', '5.9', '5.7+', '5.7+', '5.7', '5.8', '5.8+', '5.6', '5.8', '5.8+']",,2.1162378037114977,2,7.0,13,0.15384615384615374,,1,
2094,The Sniper's Post,1.0,1,5.10c,['Sport'],75.0,1,,,California,. Outside the Park,1,0,"['5.6', '5.11a', '5.11a', '5.11d', '5.10c', '5.11c']",,1.6474268222689858,3,9.0,6,0.6666666666666665,,1,
2108,Plastic People,2.4,39,5.10b/c,['Sport'],90.0,1,,,Nevada,05-Sandstone Qu…,3,3,"['5.11a', '5.7+', '5.9-', '5.11a', '5.11d', '5.8', '5.10d', '5.11c', '5.9', '5.10-', '5.9', '5.10b', '5.11a', '5.10b/c', '5.11c']",,2.397371341113449,2,8.0,15,1.0666666666666669,,1,
