,name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade,popularity,combined_difficulty,difficulty_sport_trad,number_near_grades,diff_nearby_grades,safety_numerical,commitment_numerical,aid_numerical
1459,Kipper Smack (Aka. Regular Route),3.2,6,5.7,['Trad'],150.0,1,,II,California,Olmsted Area,1,2,['5.8'],,3.0706933777911387,2,4.0,1,0.0,,2,
1462,Crocodile Rock,2.0,2,5.9,['Trad'],800.0,8,,III,Nevada,18-Windy Peak,4,0,"['5.11c', '5.10a', '5.10', '5.9', '5.9', '5.8', '5.9', '5.9', '5.8', '5.8', '5.9', '5.10', '5.7']",,2.0982845481793237,2,6.0,13,0.3846153846153846,,3,
1466,Crack n’ Face,3.5,2,5.10b,['Trad'],80.0,1,,,California,p. Reed's Pinna…,0,1,"['5.11d', '5.10c', '5.10a', '5.12a', '5.10a', '5.10d', '5.9+', '5.8+', '5.7', '5.8', '5.10c', '5.10b', '5.8', '5.11d', '5.8', '5.12a', '5.10d', '5.11a']",,3.0982845481793237,2,8.0,18,1.1111111111111112,,1,
1469,High Times,3.0,4,5.13b,['Trad'],400.0,4,,II,California,Tuolumne Meadows,2,3,"['5.12c', '5.12c', '5.7', '5.8', '5.8', '5.10', '5.8', '5.10d', '5.8', '5.13+', '5.10d', '5.11a', '5.7', '5.10a', '5.10d', '5.8']",,2.858970728907595,8,19.0,16,5.0625,,2,
1471,Beta Blocker Corner,3.0,1,5.10d,['Trad'],710.0,6,,IV,Nevada,09-Icebox Canyon,3,0,"['5.11c', '5.11', '5.10a']",,2.6474268222689856,3,10.0,3,1.0,,4,
1478,Bandage Girl,1.0,1,5.10a,['Trad'],45.0,1,,,Nevada,05-Sandstone Qu…,1,1,['5.10d'],,1.6474268222689858,2,7.0,1,1.0,,1,
1481,Beep-Beep,0.5,2,5.6,['Trad'],150.0,2,PG13,,California,May Lake Area,0,0,"['5.6', '5.7']",,1.0982845481793237,1,3.0,2,0.5,1.0,1,
1491,Old Married Couple,0.3,4,5.10-,['Trad'],500.0,3,,II,California,4:20 Wall,0,5,"['5.10c', '5.8', '5.10d', '5.9', '5.9', '5.10a', '5.9', '5.7']",,0.6989707289075944,2,7.0,8,0.25,,2,
1495,The Super Slacker Highway,3.1,112,5.10b,['Trad'],600.0,8,,,California,k. Cascade Area,8,20,"['5.10a', '5.11', '5.10b', '5.10d', '5.12a', '5.10b', '5.12c', '5.11d', '5.10b', '5.11b', '5.10d', '5.11a', '5.7', '5.10a', '5.11b', '5.9', '5.10a', '5.10b', '5.10', '5.8+', '5.8+', '5.10-', '5.11b', '5.8', '5.7', '5.10d', '5.10c', '5.12', '5.12a', '5.10c', '5.10d', '5.9', '5.10b', '5.10b', '5.11a', '5.12a', '5.8']",,3.0928748110136106,2,8.0,37,1.2162162162162162,,1,
1501,Necco Waif,1.8,13,5.7,['Trad'],40.0,1,,,Nevada,03-First Pullou…,0,1,"['5.8+', '5.8', '5.10d', '5.11-', '5.10d', '5.11b', '5.9', '5.9', '5.10a/b', '5.8', '5.10a']",,1.8353466888955694,2,4.0,11,0.5454545454545454,,1,
