name,rating,votes,grade,type,height,pitches,safety,commitment,state,sub_area,photos,comments,near_grades,aid_grade
Millenium Mud Falcon,4.0,1,5.11c,['Trad'],300,3,,,California,Rock Creek,5,0,"['5.11a', '5.11a', '5.8', '5.10a', '5.8', '5.9']",
They Were Put There By a Man,2.0,1,5.9,['Trad'],,1,,,California,Rock Creek,0,0,"['5.11a', '5.10a', '5.10d', '5.11b', '5.11c', '5.10a']",
Five Pounds of Mussy,3.0,1,5.10a,['Trad'],120,1,,,California,Rock Creek,0,0,"['5.11a', '5.10d', '5.11b', '5.11c', '5.10a', '5.9']",
Peaches Come From a Can,2.0,1,5.10a,['Trad'],,1,,,California,Rock Creek,0,0,"['5.11a', '5.10d', '5.11b', '5.11c', '5.10a', '5.9']",
Hon Yak,3.0,1,5.10d,['Trad'],130,1,,,California,Rock Creek,0,0,"['5.11a', '5.10a', '5.11b', '5.11c', '5.10a', '5.9']",
Connect the Dots,3.0,1,5.11a,['Sport'],60,1,PG13,,California,Rock Creek,0,0,"['5.10a', '5.10d', '5.11b', '5.11c', '5.10a', '5.9']",
Iggnit McNugget,2.0,1,5.11b,['Sport'],50,1,,,California,Rock Creek,0,0,"['5.11a', '5.10a', '5.10d', '5.11c', '5.10a', '5.9']",
No Not Now,2.0,1,5.11c,['Trad'],50,1,,,California,Rock Creek,0,0,"['5.11a', '5.10a', '5.10d', '5.11b', '5.10a', '5.9']",
Global Warming,1.0,1,5.4,['Trad'],40,1,,,California,Mammoth Lakes Area,0,0,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Bush Jr,1.6,59,5.7,['Sport'],40,1,,,California,Mammoth Lakes Area,2,3,"['5.10a', '5.11b/c', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Warming Wall Crack,1.9,30,5.8,['Trad'],65,1,,,California,Mammoth Lakes Area,2,5,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a']",
The Moroccan wizard,1.5,2,5.8+,['Trad'],45,1,,,California,Mammoth Lakes Area,0,0,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.9+', '5.11b', '5.10d', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
Inconvenient Truth,2.4,43,5.9+,['Sport'],50,1,,,California,Mammoth Lakes Area,1,2,"['5.10a', '5.11b/c', '5.7', '5.10b', '5.10a', '5.11a', '5.10a', '5.11a', '5.10b', '5.4', '5.10c', '5.11a', '5.12', '5.10a', '5.11b', '5.10d', '5.8+', '5.11b', '5.10c', '5.11b/c', '5.11c', '5.10a', '5.8']",
